대번호,소번호,문장,훼손/파손,분실,배송지연,오배송,"기타(임의반품, 불친절, 집하거부 등)",관련없음
233,5,* 운송장번호:1148495073,,,,,,y
233,6,* 지연호(신청인) : 01065289348,,,,,,y
234,1,"신청인은 2014. 8. 18. 피신청인과 컴퓨터사무용 책상과 의자를 강원도 춘천에서 경기도 수원으로 택배 운송 계약을 체결하고 운송료 55,000원을 지불하였는데 ",,,,,,y
234,2,운송 후 확인해 보니 책상 상판과 측면 분리시 중요 부품(나사못)이 없어지고 의자 등받이 부분의 가죽이 심하게 찢겨지는 피해가 발생하여 피신청인(본사)에게 피해 보상 신청서를 제출했으나 연락이 없고 물품을 최초 인수해간 영업소(춘천)와 배송을 진행한 영업소(수원)가 서로 책임을 전가하고 있는바 신청인은 운송료 반환 및 훼손된 물품의 배상을 요구함.,y,,,,,
235,1, 신청인은 차에 붙이는 사진스티커를 지인들에게 피신청인을 통해 택배 발송함.,,,,,,y
235,2, 1통당 2장씩 20명에게 보냈으나 3명의 지인은 받지 못하였다고 함.,,,,,,y
235,3, 피신청인에게 이의제기하니 피신청인도 분실된 통은 찾았으나 안에 내용물은 분실되었다고 함.,,y,,,,
235,4, 보상을 요구했으나 본사에서는 영업소에 말하라고 하는데 영업소에서는 아무런 답변이 없음.,,,,,,y
235,5, 분실된지 벌써 1달째임.,,y,,,,
235,6," 분실된 스티커는 1장당 15,000원임.",,,,,,y
235,7, 분실된 스티커6장 및 택배비 배상을 요구함.,,,,,,y
236,1, 신청인이 2014.8.9. 씨제이대한통운(주) 편의점택배로 배송 의뢰한 책(가격은 75.000원)이 분실되어 사고를 접수함.,,y,,,,
236,2, 9.11. 변상확인요청서를 포함한 요청 서류 발송 후 2주 내 보상 약속을 하였음.,,,,,,y
236,3, 아직까지 처리를 지연하여 신청인은 조속한 배상 처리를 요구함.,,,,,,y
236,4,* 운송장번호 : 8866997974,,,,,,y
237,1, 신청인은 2014.9.14. 동네주민이 귤 한 박스(15KG)를 발견했다며 가져와 운송장을 확인해보니 동년 9.3. 제주도에서 청과점을 운영하는 지인이 추석선물로 보낸 것으로 파악되어 박스를 개봉해보니 심하게 부패된 것을 확인함.,y,,,,,
237,2," 그리하여 9.15. 피신청인에게 이의제기를 하자 신청인에게 배송시 연락을 취했으나 부재중이어서 놓고 간 것으로 파악된다고 하여 배상을 요구하자 알아보고 연락준다고 하였는데 연락이 없어 수차례 전화하였더니 본사와 영업소가 서로 책임을 회피하고 있는 바,",,,,,,y
237,3, 신청인은 조속한 배상을 요구함.,,,,,,y
238,1, 신청인은 2014. 9. 22. 피신청인[(주)동부택배] 측을 통해 제품 판매를 위한 ‘오미자 액기스 10kg’을 운송 의뢰함.,,,,,,y
238,2," 신청인은 택배 이용 시 피신청인 측에게 규정 및 주의사항을 확인 후, 오미자 액기스 통을 테이프와 랩으로 포장하고 박스포장(배송 시 주의표시 함)하여 발송함.",,,,,,y
238,3," 같은 달 25. 피신청인 측으로부터 뚜껑 불량으로 가스가 발생해서 내용물이 넘쳤다는 이유로 반송되었고, 오미자 액기스는 전부 쏟아져 나와 멸실된 상태였음.",y,,,,,
238,4," 신청인은 운송 중 피신청인 측의 부주의로 박스를 눕혀서 운송하다 발생한 피해이므로 제품의 손해배상 100,000원과 택배비 4,000원 환급을 요구함.",,,,,,y
238,5,* 운송장 번호 : 148722024824,,,,,,y
239,1," 신청인의 어머니는 2014. 8. 12. 농협대구공판장중도매인33번에서 과일(수박, 참외, 포도, 토마토)을 구매하고 51,000원을 결제하였음.",,,,,,y
239,2, 신청인의 어머니는 피신청인((주)현대택배)에게 1만원을 지급하고 신청인의 주소로 택배 발송함.,,,,,,y
239,3, 당시 피신청인의 택배기사가 신청인에게 전화하여 행정구를 묻기에 ‘양천구’라고 알려주고 도로명 주소(목동동로10 신시가지A 11191405)와 목동신시가지아파트라고 알려주었음.,,,,,,y
239,4, 배송된 과일 상태가 불량하여 이의를 제기하니 피신청인은 신청인이 잘못된 주소를 알려주어 배송 지연된 것이며 파손에 대해서는 배송중 생길 수 있는 일이라며 책임 회피함.  ,y,,,,,
239,5," 배송지연은 피신청인 측에서 '목동동로 10' 없이 표기하여 착오가 발생한 것이며 운송 과실로 과일이 훼손되었으므로, 신청인은 손해배상을 요구함.",y,,,,,
239,6,* 운송장번호 102373376346 / 102373376350,,,,,,y
240,1," 2014.8.22. 신청인은 피신청인에게 박스 7개의 운송을 의뢰하고 운임 56,000원을 지급함.",,,,,,y
240,2, 2014.8.23. 박스 7개 중 6개만 배송 확인됨.,,y,,,,
240,3," 2014.8.26. 피신청인이 나머지 박스 1개의 내용물이 반 가량 멸실된 상태의 사진을 보내왔고, 8.28. 해당 박스를 수령함.",,,,,,y
240,4, 신청인은 2014.9.18. 연착 및 일부 멸실에 대한 손해배상을 요청하였으나 피신청인은 기다리라고만 하고 현재까지 아무런 조치가 없음.,,,,,,y
240,5, 신청인은 택배 연착 및 일부 멸실에 대한 배상을 요구함.,,,,,,y
240,6,* 운송장 번호 : 0853984040,,,,,,y
240,7,* 신청인 연락처 : 01033952388,,,,,,y
240,8,"* 분실 의류 구입가 : 약 500,000원(휠라키즈 의류 198,000원 포함)",,y,,,,
241,1," 신청인은 2014.7.14. 피신청인1(비엘티코리아)을 통해  구매대행의뢰하고 캠핑용냉장고(DOMETIC CF018DC) 구입대금 422,330 계좌이체 결제함.",,,,,,y
241,2," 7.24. 피신청인2(한진택배)를 통해 물품인수되었고,  물건 파손 확인 후 이의제기하여 물건을 바로 수거해 감.",y,,,,,
241,3, 그후 피신청인1(비티엘코리아)에게 이의제기하자 해결 하여 주기로 약속하였으나  파손된 물품을 피신청인2(한진택배)이 방치하였음.,,,,,,y
241,4, 10.8. 아무 연락도 없이 피신청인2가 수거한 물건을 신청인에게 인계함.,,,,,,y
241,5, 피신청인1에게 파손된 물품을 보냈으나 현재 배상처리를 거부하고 있음.,,,,,,y
241,6, 신청인은 공정거래위원회 고시 소비자분쟁해결 기준에 의거하여 배상을 요구함.,,,,,,y
241,7, * 송장번호 : 8111382661,,,,,,y
242,1,가. 사건개요,,,,,,y
242,2," 2014.10.6. 신청인은 피신청인(로젠)과 택배물의 운송계약을 체결하고 5,000원을 현금 결제함(운송장 번호: 71849234251).",y,,,,,y
242,3, 2014.10.7. 신청인은 택배를 수령하였으나 물품의 겉 박스가 원인을 알 수 없는 액체에 젖어서 내용물이 파손되어 있는 것을 확인하고 사진을 찍어 놓음.,,,,,,y
242,4, 2014.10.13. 신청인은 피신청인의 서비스센터를 통해 사고접수를 하였으나 포장되었던 젖은 박스가 없어서 사고접수를 할 수 없다는 안내를 받음.,,,,,,y
242,5,나. 신청인 주장,,,,,,y
242,6," 신청인은 배송 받은 택배물의 겉 박스가 파손되어 내용물이 훼손되었기에 관련법령 및 공정거래위원회 고시 소비자분쟁해결기준에 의거 운임 환급(5,000원) 및 운송물의 가액을 기준으로 산정한 손해액(153,850원)의 배상을 요청함.",y,,,,,
242,7, * 10월 7일 구매 영수증 첨부,,,,,,y
243,1,"가. 신청인의 제품이 2014.08.27. 피신청인의 부산영업소에 도착하였으나, 피신청인이 배송을 미루는 관계로 2014.08.30. 인도받음.",,,y,,,
243,2,"나. 배송지연 관련 피신청인에게 수차례 이의제기하였으나, 주소를 오기재했다는 이유로 지연에 대한 배상거절함.",,,,,,y
243,3,"다. 신청인은 이전에도 동일 주소를 기재해온바, 피신청인이 주소를 문제삼는 것을 이해할 수 없음.",,,,,,y
243,4,라. 이에 신청인은 배송지연에 대한 배상 요구함.,,,y,,,
243,5,*운송장번호 : 580218315460,,,,,,y
244,1,가. 신청인은 2014.09.16.~09.18. 피신청인을 통해 과일(메론)을 의뢰하였으나 총33박스 중 8박스가 훼손됨.,y,,,,,
244,2,나. 이와 관련 피신청인에게 피해접수를 하였으나 후속 조치가 이루어지지 않음.,,,,,,y
244,3,"다. 이에 신청인은 훼손된 8박스에 해당하는 금액 240,000원 배상 요구함.[1박스=30,000원 (택배비 포함)]",,,,,,y
244,4,*운송장* (각 운송장에 대한 사진有),,,,,,y
244,5,1. 102419280305 (2박스 중 3개 훼손),y,,,,,
244,6,2. 102419280681 (1박스 전체훼손),y,,,,,
244,7,3. 102419280154 (1박스 전체훼손),y,,,,,
244,8,4. 102419280596 (1박스 전체훼손),y,,,,,
244,9,5. 102419280176 (1박스 전체훼손),y,,,,,
244,10,6. 102419280272 (1박스 중 1개 훼손),y,,,,,
244,11,7. 102419280611 (2박스 전체 훼손),y,,,,,
245,1," 신청인은 2014. 9. 22. 피신청인[로젠(주)]의 중부산지점에 포도 1박스를 운송 의뢰하며 운송비 3,000원을 지급함.",,,,,,y
245,2," 운송 의뢰 당시, 담당 기사가 신청인의 사무실 약정 운송비 2,500원에 추가 운송비 500원을 요구하였으며 포도 상태를 확인하고 인수함.",,,,,,y
245,3," 같은 달 23. 피신청인의 담당 기사로부터 포도가 무르고 훼손되어 고객에게 배송할 수 없다는 연락을 받은 후, 같은 달 25. 포도를 반송 받아보니 알맹이가 터지고 물러져 박스 전체가 포도즙으로 가득한 상태였음.",y,,,,,
245,4," 피신청인 담당 기사에게 이의제기하자 포도는 생물이라 보상해줄 수 없다고 답변하며, 고객센터에서는 담당 기사와 해결하라며 손해배상 책임을 회피함.",,,,,,y
245,5," 신청인은 피신청인이 물품 수탁 시 추가 운송비를 받은 후, 운송 중 부주의로 피해가 발생하였으므로 포도 구입비 20,000원의 손해배상을 요구함.",,,,,,y
245,6,* 수취인(운송장 번호) : 고은정(22736458894),,,,,,y
245,7,* 담당 기사 : 김경택 (01034061116 / 중부산지점),,,,,,y
245,8,"* 포도 구입 가격 : 20,000원 (1박스당 20,000원)",,,,,,y
246,1," 신청인은 2014. 9. 22. 피신청인[로젠(주)]의 중부산지점에 포도 1박스를 운송 의뢰하며 운송비 3,000원을 지급함.",,,,,,y
246,2," 운송 의뢰 당시, 담당 기사가 신청인의 사무실 약정 운송비 2,500원에 추가 운송비 500원을 요구하였으며 포도 상태를 확인하고 인수함.",,,,,,y
246,3," 같은 달 23. 수취인이 배송 받아보니 포도 알맹이가 터지고 물러져 박스 전체가 포도즙으로 가득한 상태임을 전달 받고, 같은 달 24. 수취인의 집을 방문하여 포도 전체가 심하게 훼손된 것을 확인함.",y,,,,,
246,4," 피신청인 담당 기사에게 이의제기하자 포도는 생물이라 보상해줄 수 없다고 답변하며, 고객센터에서는 담당 기사와 해결하라며 손해배상 책임을 회피함.",,,,,,y
246,5," 신청인은 피신청인이 물품 수탁 시 추가 운송비를 받은 후, 운송 중 부주의로 피해가 발생하였으므로 포도 구입비 20,000원의 손해배상을 요구함.",,,,,,y
246,6,* 수취인(운송장 번호) : 김행림(22736458824),,,,,,y
246,7,* 담당 기사 : 김경택 (01034061116 / 중부산지점),,,,,,y
246,8,"* 포도 구입 가격 : 20,000원 (1박스당 20,000원)",,,,,,y
247,1," 신청인은 2014. 9. 22. 피신청인[로젠(주)]의 중부산지점에 포도 2박스를 운송 의뢰하며 운송비 6,000원을 지급함.",,,,,,y
247,2," 운송 의뢰 당시, 담당 기사가 신청인의 사무실 약정 운송비 2,500원에 추가 운송비 500원을 요구하였으며 포도 상태를 확인하고 인수함.",,,,,,y
247,3, 같은 달 23. 수취인이 배송 받아보니 포도 알맹이가 터지고 물러져 박스 전체가 포도즙으로 가득한 상태임을 전달 받음.,y,,,,,
247,4," 피신청인 담당 기사에게 이의제기하자 포도는 생물이라 보상해줄 수 없다고 답변하며, 고객센터에서는 담당 기사와 해결하라며 손해배상 책임을 회피함.",,,,,,y
247,5," 신청인은 피신청인이 물품 수탁 시 추가 운송비를 받은 후, 운송 중 부주의로 피해가 발생하였으므로 포도 구입비 40,000원의 손해배상을 요구함.",,,,,,y
247,6,"* 수취인(운송장 번호) : 이진오(22736458835, 22736458883)",,,,,,y
247,7,* 담당 기사 : 김경택 (01034061116 / 중부산지점),,,,,,y
247,8,"* 포도 구입 가격 : 40,000원 (1박스당 20,000원)",,,,,,y
248,1," 신청인은 2014. 9. 22. 피신청인[로젠(주)]의 중부산지점에 포도 1박스를 운송 의뢰하며 운송비 3,000원을 지급함.",,,,,,y
248,2," 운송 의뢰 당시, 담당 기사가 신청인의 사무실 약정 운송비 2,500원에 추가 운송비 500원을 요구하였으며 포도 상태를 확인하고 인수함.",,,,,,y
248,3, 같은 달 23. 수취인이 배송 받아보니 포도 알맹이가 터지고 물러져 박스 전체가 포도즙으로 가득한 상태임을 전달 받음.,y,,,,,
248,4," 피신청인 담당 기사에게 이의제기하자 포도는 생물이라 보상해줄 수 없다고 답변하며, 고객센터에서는 담당 기사와 해결하라며 손해배상 책임을 회피함.",,,,,,y
248,5," 신청인은 피신청인이 물품 수탁 시 추가 운송비를 받은 후, 운송 중 부주의로 피해가 발생하였으므로 포도 구입비 20,000원의 손해배상을 요구함.",,,,,,y
248,6,* 수취인(운송장 번호) : 배윤영(22736458916),,,,,,y
248,7,* 담당 기사 : 김경택 (01034061116 / 중부산지점),,,,,,y
248,8,"* 포도 구입 가격 : 20,000원 (1박스당 20,000원)",,,,,,y
249,1," 신청인은 2014. 9. 22. 피신청인[로젠(주)]의 중부산지점에 포도 3박스를 운송 의뢰하며 운송비 9,000원을 지급함.",,,,,,y
249,2," 운송 의뢰 당시, 담당 기사가 신청인의 사무실 약정 운송비 2,500원에 추가 운송비 500원을 요구하였으며 포도 상태를 확인하고 인수함.",,,,,,
249,3, 같은 달 23. 수취인이 배송 받아보니 포도 알맹이가 터지고 물러져 박스 전체가 포도즙으로 가득한 상태임을 전달 받음.,y,,,,,
249,4," 피신청인 담당 기사에게 이의제기하자 포도는 생물이라 보상해줄 수 없다고 답변하며, 고객센터에서는 담당 기사와 해결하라며 손해배상 책임을 회피함.",,,,,,y
249,5," 신청인은 피신청인이 물품 수탁 시 추가 운송비를 받은 후, 운송 중 부주의로 피해가 발생하였으므로 포도 구입비 60,000원의 손해배상을 요구함.",,,,,,y
249,6,* 수취인(운송장번호) : 이향정(22736458846) / 최미자(22736458861) / 박중혁(22736458850),,,,,,y
249,7,* 담당 기사 : 김경택 (01034061116 / 중부산지점),,,,,,y
249,8,"* 포도 구입 가격 : 60,000원 (1박스당 20,000원)",,,,,,y
250,1, 신청인의 배우자(최윤영)는 2014.9.19. 피신청인에게 페라가모 시계(2014.8.7.구입)를 AS업체(우림FMG)로  배송의뢰함.,,,,,,y
250,2, 9. 22. 물품 배송완료를 홈페이지에서 확인하였으나 AS업체는 배송받지 못하였다고 함.,,y,,,,
250,3," 신청인이 10.7. 피신청인 고객지원팀 오주원, 종로지점 연제민과 통화 하여 배송분실 사실을 인정하여 한화로 166만원을 배상 받기로 하고 10. 8. 합의서를 작성함.",,y,,,,
250,4, 그런데 10. 16. 피신청인이 166만원을 배상하지 못하겠다며 처리를 지연함,,,,,,y
250,5, 신청인은 공정거래위원회 고시 소비자분쟁해결 기준에 의거하여 분실된 제품구입가 166만원 배상을 요구함.,,,,,,y
250,6, * 운송장번호 : 102363218053,,,,,,y
251,1," 신청인은 2014. 2. 3. 피신청인(CJ대한통운(주))에게 80,000원 상당의 홍삼 1박스를 배송의뢰하고 택배비 4,000원을 결제함.",,,,,,y
251,2, 수하인(조원호)이 부재중이었던 2014. 2. 4. 배송되어 물품을 수령하지 못하였으나 피신청인은 수하인의 어머니가 물품을 정상적으로 운송했다고 주장하고 있음.,,y,,,,
251,3, 이에 수하인의 어머니가 2014. 2. 4. 경비실 접수대장을 확인해보았는데 자신의 필체와 다른 서명을 한 흔적을 확인하였음.,,,,,,y
251,4," 신청인은 피신청인에게 10여 차례 고객센터에게 문의하였고 확인 후 연락주겠다는 답변을 받았으나 한 차례도 답변을 받지 못하였고, 피신청인의 홈페이지 게시판 고객의 소리에 문의글을 2차례 남겼으나 답변을 받지 못하였음.",,,,,,y
251,5, 신청인은 분실된 물품과 택배운임에 대한 손해 배상을 요구함.,,y,,,,
251,6,* 운송장번호 101261858592,,,,,,y
252,1,"2014.10.16. 부모님(양상현)께서 직접 캐신 고구마 한 상자를 경동택배를 통해 배송을 요청하였고, 다음 날 17. 배송이 될거라는 문자 메세지[물품(25014101725)이 거제연초야부11 경동택배에서 오늘 중 배달됨]를 받았으나 현재까지 도착되지 않아 같은 달 20, 21, 22. 피신청인 측에 전화를 수시로 해 보았으나 항상 통화 중... 22일 오후 2시경 전화가 우연찮게 신호가 가서 계속 기다리자 수화기를 드는 소리가 나는가 싶더니 소근거리는 목소리로 끊어라, 끊어라하는 영업소 사람들끼리 대화가 들리면서 통화가 끊어졌습니다.",,,y,,,
252,2,"그 후 다시 전화를 걸어 보았지만 계속 통화 중, 본사 CS팀에 전화를 걸어도 통화가 되질 않습니다.연락이 안 되어 협의 된 것이 없습니다. 물품이 비싼 건 아니나 부모님께서 보내주신 화물이 연락 두절이 되어 차마 부모님께는 못 받았다는 소리도 못하고 연락도 되질 않아 답답 합니다.",,,,,,y
252,3,  * 양현준(신청인) : 01097685820,,,,,,y
253,1,"o 신청인은 2014. 9. 29. 배 2박스를 피신청인의 택배서비스를 이용하여 배송받았으나 1박스(24,000원)가 파손(별첨 사진) 되어 와서 피신청인 측 고객센터에 손해배상 접수함.(운송장 번호 1487054435211/배송 의뢰인 : 김영래, 수하인 : 김지향)",y,,,,,
253,2,o 접수 후 진행 확인을 위해 울산 농협택배로 전화연결한 바 본사에서 처리하는 일이므로 1개월 정도 걸린다며 다시 전화하지말라고 하며 일방적으로 끊어버리고는 답변이 없어 같은 해 10. 4. 피신청인 측 고객센터에 다시 문의하자 본사에서 빠른 시일내에 피해보상을 하겠다고 함.,,,,,,y
253,3,o 그 후로도 답변이 없어 같은 해 10. 17. 소비자 보호원에 접수하니 동배택배 본사에 공문을 띄워 2014. 10. 24까지 보상 약속을 하겠다고 하였으나 보상도 없고 연락도 없는 바 택배물 파손에 대한 조속한 손해배상을 요구함.,y,,,,,
254,1,신청인은 2014. 9. 22. 피신청인을 통해 직접 재배한 밤을 지인들에게 보냈으나 5개 의뢰 물품 중 1개인 특대 20Kg이 분실되었음을 확인함.,,y,,,,
254,2,"2014. 9. 24. 피신청인의 담당자(15880011, 권현옥 담당자)에게 분신실고를 접수하였고 이후 재접수를 하였으며 피신청인의 공주점(0418572443)을 통해 연락을 받아 방문하였음.",,,,,,y
254,3,이후 분실된 물품을 확인 해보겠고 찾으면 연락준다고 하였으나 답변이 없어 2014. 9. 26. 다시 분실신고를 하였고 2014. 9. 29. 신속히 대응하겠다는 답변을 받았으나 조치되지 않고 있음.,,y,,,,
254,4,"신청인은 분실된 물품의 가격이 1Kg당 5,000원, 20kg 이므로 100,000원 및 배송비 5,000원 등 총 105,000원의 손해배상을 요구함.",,y,,,,
255,1,신청인은 2014. 10. 15. CJ대한통운에 배송을 의뢰하여 10. 17. 수하인이 집에 있는데도 택배원이 아무 연락 없이 경비실에 맞기고 간 택배물의 포장지가 찢겨져 있고 내용물은 없어진 상태여서 10. 18. CJ대한통운에 분실신고를 하여 10. 20.경 상담원이 전화를 해와 비슷한 물건을 찾았는데 맞느냐는 문의를 한 후 더 이상 연락이 없다며 분실된 택배 내용물에 대한 배상을 요구하고 있음. *택배송장번호 : 8893894715. 끝.,,y,,,,
256,1," 신청인은 2014.6.2. 피신청인에게 아카시아벌꿀 1박스(2.4kg, 12병)를 포항에서 목포로 배송 의뢰하였고, 익일 수하인으로부터 꿀 8병이 파손되었다는 연락을 받아 사고접수하고 변상신청서를 제출하였으나 피신청인은 훼손된 꿀을 수거해간 후 현재까지 연락 없이 처리 지연하는 바, 관련법령에 의거하여 제품 판매가 400,000원의 손해배상을 요구함. ",y,,,,,
257,1, 신청인의 형(고영동)은 2014. 9. 29. 피신청인(CJ대한통운(주))의 삼척지점을 통해 신청인에게 삼성전자 컴퓨터 본체와 모니터 배송을 의뢰하였음.,,,,,,y
257,2, 신청인은 2014. 9. 30. 제품을 배송받았는데 수령당시 박스 및 충전재가 물에 젖어있었으며 생선 비린내가 났음.,y,,,,,
257,3," 박스를 개봉하여 내용물을 확인했는데 모니터와 컴퓨터 본체가 침수에 의해 피해가 발생했으며, 컴퓨터가 정상 작동하지 않았고 모니터에 줄이 가는 등 문제가 있어 담당 배송 기사에게 연락해 이의제기를 하였는데 배송기사는 선차시부터 제품 박스가 냉동제품 아래에 있는 것을 확인 후 파손신고를 하였다며 삼척지점과 보상 문제를 해결하라고 답변함.",y,,,,,
257,4, 신청인은 삼척지점에 연락하여 보상받기로 한 후 2014. 10. 6. 삼척지점으로 컴퓨터를 반송한 상황인데 현재까지 피신청인은 연락을 회피하며 보상 처리를 지연중임.,,,,,,y
257,5," 신청인은 물품가액 815,920원의 피해보상을 요구함.",,,,,,y
257,6, * 운송장 번호: 101440850611,,,,,,y
258,1," 신청인은 2014.10.13. 피신청인을 통해 젤네일램프를 택배로 의뢰하고 택배비 3,000원 현금 결제함.",,,,,,y
258,2, 이후 제품 수령인이 파손되었음을 알려와 피신청인에게 파손사실을 알리고 보상요구하였으나 자사의 파손면책조항을 근거로 거부함.,y,,,,,
258,3, 또한 택배 의뢰당시 제품 포장 및 운송장에 파손에 대한 주의사항을 기재하였으며 파손면책에 대한 사전고지 받거나 동의한 내용 없음.,,,,,,y
258,4," 신청인은 소비자분쟁해결기준(택배 및 퀵서비스업, 공정거래위원회 고시 제20144호)에 의거하여  파손에 대한 손해배상 107,500원을 요구함.",y,,,,,
258,5,"* 손해배상 산정액 (제품가격 100,000원, 배송비 3,000원, 물건파손 배송비 4,500원)",,,,,,y
259,1, 민원인은 2014.8.19 피신청인을 통해 삼성카메라 118만원/36개월 할부 구입한 제품을 발송하였으나 8.23 신광진영업소에서 분실한 것으로 확인됨.,,y,,,,
259,2, 현재까지 제품을 배송 받지 못하여 수차례 콜센터로 협의하였으나 보험 미가입으로 금액 협의에 어려움으로 이의 제기를 했었음.,,,,,,y
259,3," 분실된 카메라의 구입 금액 영수증 및 신분증, 통장 번호는 모두 고객센터로 보냈으나 받지 못하였다고 하여 1372 상담센터를 통해 상담후 1372 상담원이 고객지원팀 팩스번호 문의하여 027258074로 재전송 하였고, 분실을 인정한 내용도 녹취하였다고 함.",,,,,,y
259,4, 운송장번호:170031002116,,,,,,y
259,5, 구입금액 전액에 대한 보상을 요구함.,,,,,,y
260,1," 신청인은  2014년4월 구입한 전기밥솥 피신청인을 통해 A/S  위해 택배우송 의뢰하고 3,000원 현금결제함.",,,,,,y
260,2, *** 운송장번호 22703014003,,,,,,y
260,3," 밥솥 뚜껑이 고장이 나서 제품보낼때 안에 스치로폼과 신문등을 충분히 넣어 잘 포장하였는데, 도착지에서 전화가 없어서 확인하자 제품이 찌그러져서 사용할 수 없는 상황이라고 함.(제때 연락없었기에 책임있음)",y,,,,,
260,4," 피신청인측(로젠택배)에 배상요구하자  해주겠다고 계좌번호까지 요구해서 알려 줬는데, 지금에 와서는 포장을 잘 못했다고 하면서 보상거부함.",,,,,,y
260,5, 신청인은  공동책임 있다며  배상요구 함. ,,,,,,y
261,1,"가. 신청인은 2014.10.13. 피신청인1(한일물류)을 통해 광주에 거주하는 아버지에게 자전거 한 대를 보내며 운임비 35,000원을 지급함.",,,,,,y
261,2,"나. 신청인의 동생이 운임비가 과다 청구된 것으로 사료되어 이의제기하니 피신청인1은 자체 규정에 따라 운임비가 책정된다고 주장하였으나, 표준운임표 공개 요구를 거부함.",,,,,y,
261,3,"다. 또한 운송장번호가 동일함에도 신청인이 받은 운송장에 기재된 운임액(35,000원)과 배송 물품에 부착된 운송장의 운임액(10,000원)이 다르게 기재되어 있으므로 이에 대한 해명 요구함.",,,,,y,
261,4,"라. 신청인은 과다 청구된 운임액(25,000원)에 대한 환급요구함.",,,,,y,
261,5,"* 자전거박스 사이즈 : 가로 128, 세로 67 ,중량 18kg ",,,,,,y
262,1," 신청인은 2014.9.25. 피신청인((주)경동택배)에게 의류를 배송(부여→목포) 의뢰하였으나, 분실되어 피신청인에게 이의제기하니 사고처리하겠다고하였으나 현재까지 배상이 이루어지지 않은 바, 이에 대한 조속한 배상을 요구함.",,y,,,,
262,2,(* 운송장번호 428140903335),,,,,,y
263,1," 신청인은 2014.10.24. 피신청인을 통해 착불로 받기로 한 택배(쌀40kg, 2가마)가 왔다는 연락을 받고 확인해보니 이사 오기전 주소로 배송되었음.",,,,,,y
263,2," 신청인은 주소가 잘못기재되었다고 하니 현주소를 알려달라고 하고 피신청인의 택배원(성기안)이 택배비 22,000원을 요구하여 입금함.",,,,,,y
263,3," 2014.10.27. 피신청인의 택배원(예준희)에게 택배를 배송받고 추가로 22,000원을 요구하여 지불 후 수령함.",,,,,,y
263,4," 신청인은 추가 택배비가 발생하는것을 미리 고지하지 않은 바, 22,000원의 환급을 요구함.",,,,,y,
263,5,  *1차 송장번호 : 52542903416/ 2차 송장번호 : 52546919014,,,,,,y
264,1, 신청인은 2014.10.21. 피신청인에게 택배(nuc NGM1630 홍삼제조기)를 의뢰함.,,,,,,y
264,2, 2014.10.22. 수령 후 플라스틱 부분이 훼손되었다고 하여 이의제기하니 피신청인은 송하장에 물품란을 “기타”라고 기재했으므로 배상을 거부함.,y,,,,,
264,3, 신청인은 의뢰 당시 물품을 기재하는 란이 없었고 안내받지도 못했으므로 파손된 물품에 대한 배상을 요구함.  ,,,,,,y
264,4,* 운송장 번호 : 684821829390,,,,,,y
265,1, 신청인은 2014.10.20 피신청인을 통해 친정아버지에게 한약을 택비로 발송한 후 10.21 화물추적을 조회해보니 군포HUB 간선 하차 후 확인이 안되고 배송도 안되어 10.27 피신청인에게 문제제기를 하였으나 답변조차 없음.,,,,,,y
265,2, 송장번호 : 684818740791,,,,,,y
265,3, 한약 구입가 : 95만원(영수증 첨부),,,,,,y
265,4, 신청인은 분실된 한약에 대한 손해배상을 요구함.,,y,,,,
265,5,* 신청인의 남편 변석호(대리인)에게 01047676976 연락요망.,,,,,,y
266,1," 신청인은  2014.10.11. 온라인쇼핑몰(작은성)에서 휴지통 4개를 146,000원에 구입하면서 주소를 잘못 기재함.",,,,,,y
266,2, 해당 사실은 물품 배송이 안되어 쇼핑몰에 확인하는 과정에서 이전 거주지 주소를 기재한 것으로 확인되었으나 주소를 잘못 기재했더라도 피신청인으로부터 배송에 따른 아우런 연락을 받지 못햇고 일방적인 배달을 한 것으로 확인됨.,,,,,,y
266,3, 신청인은 주소 오기재에 대한 본인 과실을 인정하고 피신청인 택배기사와 합의하여 10만원 보상을 받기로 하였으나 현재까지  이행이 안되고 있는바 신속한 이행을 요구함.,,,,,y,
267,1," 신청인은 2014.10.20. 오디오 점검 및 수리요청하여 참소리음향에 물품을 위탁하여 수리 완료 후 같은 달 31. 피신청인(합동택배)을 통해 제품을 배송받았으나, 제품이 파손되어있어 피신청인의 대리점에 연락하고 방문하였으나 사람이 없고 전화연결이 되지 않음.",y,,,,,
267,2, 신청인은 관련규정에 근거하여 조속한 수리를 요구함.,,,,,,y
268,1, 신청인은 2014. 11. 3. 피신청인 택배서비스를 이용하여 송하인(친구)가 보내준 대봉감 한 상자를 배송받음.,,,,,,y
268,2, 그런데 배송받은 물품은 박스가 찢어져 있고 내용물은 짓눌러져 있어서 피신청인에게 이의를 제기함.,y,,,,,
268,3, 그러나 피신청인은 송하인이 애당초 무른 감을 보냈다고 하며 과일 등의 생물은 파손시 면책이 된다고 주장하며 책임을 회피하고 있음.,,,,,,y
268,4, 이에 신청인은 피신청인이 배송 중에 물품을 파손시켰으므로 이에 대하여 배상을 요구함.,,,,,,y
268,5,* 운송장 : 06546309702,,,,,,y
269,1, 신청인은 2014. 10. 22. 랄프로렌의 해외 사이버몰을 통하여 의류 여러 벌을 구매 후 피신청인(몰테일)의 사이버몰을 통하여 배송대행계약을 체결함.,,,,,,y
